"Animal","Caption","Age","Depicts_research","Want_as_pet","Seen_in_real_world","Support_conservation","One_word_comment"
"gorilla","no context",28,4,4,4,4,"gorilla"
"gorilla","no context",28,4,4,4,4,"gorilla"
"gorilla","informative",37,5,1,1,2,"conservation"
"loris","informative",38,5,4,4,5,"Wildlife"
"loris","no context",59,4,4,4,4,"animal in this post"
"loris","no context",59,4,4,4,4,"animal in this post"
"loris","informative",52,5,4,4,4,"CUTE ONE"
"loris","informative",52,5,4,4,4,"CUTE ONE"
"gorilla","informative",40,5,5,5,5,"happyness"
"loris","informative",35,4,4,2,4,"humanely for recherché the animal"
"gorilla","no context",49,4,4,4,4,"very good"
"gorilla","no context",59,4,1,1,4,"scary"
"gorilla","no context",25,4,4,4,4,"KINGKONG"
"loris","no context",32,4,2,1,4,"innocent"
"gorilla","informative",38,4,4,2,5,"happy"
"loris","informative",42,3,4,4,4,"monkey"
"gorilla","informative",64,4,4,4,4,"Animals"
"gorilla","no context",37,4,5,4,4,"GORILLA"
"gorilla","no context",57,5,5,4,4,"Animals save the earth"
"gorilla","no context",66,4,4,3,5,"I would like feel happy"
"gorilla","no context",30,4,4,4,4,"GORILLA"
"gorilla","no context",33,4,1,1,5,"Cool"
"loris","no context",49,2,4,4,3,"This animal are Disgusting"
"gorilla","no context",32,4,4,4,5,"Nice "
"loris","no context",39,4,5,2,4,"Cute"
"loris","informative",40,5,5,5,5,"capturted"
"loris","informative",21,4,2,1,4,"Adorable"
"gorilla","no context",24,4,4,4,4,"NICE"
"gorilla","no context",25,4,4,4,4,"This post is remain to save animals"
"loris","no context",38,4,4,3,4,"mark"
"loris","informative",35,5,4,4,5,"nice"
"gorilla","informative",42,4,4,4,4,"animal is protected them"
"loris","no context",25,4,2,4,5,"dangered animal"
"loris","no context",29,4,1,2,4,"animal"
"gorilla","no context",25,5,5,4,5,"gorilla"
"gorilla","no context",42,4,1,1,4,"Gorilla"
"gorilla","no context",32,5,5,5,5,"SAVE WILDLIFE"
"loris","no context",30,5,5,5,5,"good"
"loris","no context",36,5,3,1,4,"Cute"
"loris","informative",40,4,2,2,4,"Tiny"
"loris","no context",25,4,4,5,4,"NATURE"
"loris","no context",30,5,5,5,5,"Unique"
"gorilla","informative",25,4,4,4,4,"Torture"
"loris","no context",63,3,2,2,2,"None did wrong to assume it does for all"
"loris","informative",40,5,4,5,4,"good"
"loris","informative",55,4,5,4,4,"pity"
"loris","no context",36,4,1,1,5,"Cute"
"loris","no context",26,4,4,5,4,"This animal is injured"
"gorilla","informative",23,4,1,2,5,"How thrilling to see such an animal in close proximity"
"gorilla","no context",24,3,4,4,4,"Mountain Gorilla is quite"
"loris","informative",42,5,4,4,4,"Reception of Wildlife in Images Survey"
"gorilla","informative",35,2,5,4,2,"COMMEND"
"loris","informative",62,5,2,1,3,"sad"
"gorilla","informative",39,4,5,4,4,"looking"
"loris","no context",31,5,4,4,4,"beautiful "
"gorilla","no context",35,4,5,4,4,"Mountain Gorilla"
"gorilla","informative",25,5,5,5,5,"Research"
"gorilla","informative",61,4,1,1,2,"amazing"
"gorilla","informative",36,4,1,1,2,"cute"
"loris","informative",30,5,5,4,5,"HUMANITY AND SAFEGUARD ANIMALS"
"loris","informative",32,5,3,3,4,"Wildlife"
"gorilla","informative",29,2,2,5,5,"GOOD RELATIONSHIP FOR HUMANITY"
"loris","no context",30,4,4,4,4,"animal"
"loris","no context",51,5,2,1,4,"cute"
"loris","informative",43,2,1,3,2,"sad"
"loris","informative",43,2,1,3,2,"sad"
"loris","informative",33,4,4,2,4,"Cute"
"loris","informative",33,4,4,2,4,"Cute"
"loris","informative",32,5,1,1,2,"Cute"
"gorilla","informative",48,5,5,5,5,"pity"
"gorilla","informative",39,5,5,4,5,"All animals are observed safely and humanely"
"loris","no context",63,4,2,2,4,"sympathy"
"loris","informative",30,5,4,4,5,"monky"
"gorilla","informative",40,5,5,5,5,"WILDLIFE"
"gorilla","no context",35,4,4,4,4,"very close between human and animal"
"gorilla","informative",49,5,2,4,5,"happy"
"loris","informative",31,5,4,4,4,"We must learn our image from animals"
"gorilla","informative",50,5,1,1,1,"research"
"gorilla","informative",24,4,4,4,4,"Beast"
"gorilla","informative",40,4,2,3,4,"fear"
"gorilla","no context",30,1,1,3,4,"Danger"
"loris","informative",42,4,3,3,4,"Cute"
"gorilla","no context",30,5,2,4,5,"mountain gorilla"
"gorilla","informative",28,5,1,2,4,"Gorilla"
"gorilla","no context",63,3,1,1,4,"Curiosity"
"gorilla","no context",30,4,4,4,4,"Nice Species"
"gorilla","no context",58,5,5,5,4,"YES"
"loris","informative",39,4,4,4,4,"All wild animals are captured and handled safely for people researchers"
"gorilla","no context",58,3,1,1,1,"fascinated"
"gorilla","informative",34,4,1,4,5,"wildlife love"
"gorilla","no context",30,5,4,4,4,"Conversation "
"loris","informative",25,5,5,5,5,"unique"
"loris","no context",50,3,2,2,2,"unwell"
"gorilla","no context",25,4,4,5,4,"Human mountain gorilla"
"loris","informative",40,2,4,5,3,"ANIMAL"
"gorilla","no context",30,5,4,4,4,"Gorilla"
"loris","no context",25,4,4,3,5,"THIS ANIMAL IS LOOK GOOD"
"gorilla","no context",35,5,4,4,5,"MEN WITH AMOUNTAIN GORILLA"
"gorilla","informative",25,5,4,4,5,"Looks like a picture "
"loris","no context",32,4,5,4,3,"cute little monkey very cute"
"loris","no context",33,3,5,4,4,"cute monkey and that affection for that owner"
"loris","informative",34,5,4,4,4,"nice"
"loris","informative",34,5,1,4,5,"kindness"
"loris","informative",52,5,4,5,4,"Wildlife"
"loris","no context",35,4,2,1,4,"cute"
"loris","informative",25,5,5,4,4,"nice pet"
"loris","informative",25,5,5,4,4,"nice pet"
"loris","no context",25,4,4,4,4,"small monkey"
"loris","no context",25,4,4,4,4,"small monkey"
"gorilla","no context",45,5,5,5,5,"WILDLIFE RESEARCH"
"loris","informative",25,4,4,4,4,"small monkey"
"loris","informative",30,5,5,5,5,"Wow"
"gorilla","informative",25,4,3,4,5,"Gorilla"
"gorilla","no context",42,4,5,5,4,"pity"
"gorilla","no context",36,2,5,2,4,"close"
"gorilla","no context",44,4,3,4,4,"NATURAL ANIMALS IS BEAUTYFULL"
"gorilla","no context",40,4,4,4,4,"I feel good"
"gorilla","informative",38,5,1,4,4,"Interest"
"loris","informative",25,4,5,4,5,"all animals were capture and handle safely"
"gorilla","no context",39,4,4,4,4,"Relationship"
"gorilla","no context",54,4,1,1,4,"Care"
"loris","informative",36,5,5,4,5,"animals"
"loris","informative",29,5,5,5,5,"primatologist"
"loris","no context",25,4,5,5,5,"This is very helpful in person life"
"loris","informative",25,4,1,4,4,"funny"
"gorilla","no context",38,3,1,1,3,"Big"
"loris","informative",30,2,2,1,4,"Cute"
"loris","informative",55,4,5,4,5,"humble"
"gorilla","informative",33,4,4,4,4,"THE NATURAL IS SO BEAUTYFUL"
"loris","informative",34,4,4,2,5,"Adorable"
"gorilla","informative",25,4,4,4,4,"mountain gorillas in my research"
"gorilla","no context",35,4,5,4,3,"Monkey and man understand for good relationship and make it friendship"
"gorilla","informative",30,4,4,4,5,"gorilla"
"loris","no context",25,5,4,4,4,"Cute"
"loris","no context",30,5,2,1,4,"Adorable"
"loris","no context",27,4,4,4,4,"cute"
"loris","informative",47,5,4,4,4,"My Friend"
"loris","no context",25,5,4,5,5,"The animal handle the safe"
"gorilla","no context",35,4,5,4,3,"AMAZING"
"loris","informative",25,3,3,3,4,"NICE"
"gorilla","informative",58,4,4,4,4,"beautiful"
"loris","no context",48,3,3,2,5,"Monkey"
"loris","no context",24,5,4,4,4,"Beast"
"gorilla","informative",42,3,1,5,5,"Gorilla"
"loris","no context",27,2,1,4,5,"Nice"
"gorilla","no context",38,3,1,1,5,"LOVELY"
"gorilla","informative",39,4,4,4,5,"comes"
"loris","no context",26,4,4,4,4,"research study"
"gorilla","no context",48,5,5,4,4,"nice post"
"gorilla","no context",25,5,5,5,5,"gorilla"
"gorilla","no context",32,4,5,5,4,"Gorilla"
"loris","no context",23,4,4,2,5,"coddle"
"loris","informative",62,4,4,4,4,"good"
"loris","no context",53,3,2,4,4,"CUTE"
"gorilla","no context",33,2,1,4,2,"Brave"
"loris","informative",52,4,4,4,5,"WHY IS IT SO THIN AND PITY"
"loris","no context",35,4,5,4,4,"monkey"
"gorilla","informative",30,4,2,5,2,"GOOD FEEL"
"loris","informative",51,5,1,1,2,"gross"
"loris","informative",26,4,4,5,4,"Research"
"loris","informative",60,4,4,4,4,"ANIMALS KINDNEES"
"gorilla","informative",25,5,4,4,4,"Disturb"
"loris","no context",29,5,4,4,4,"zoophilist"
"loris","no context",25,4,4,4,4,"it the post good "
"loris","no context",31,2,1,5,2,"indifferent"
"loris","informative",41,4,1,2,4,"sad"
"loris","no context",43,4,4,4,4,"Enjoyable"
"gorilla","informative",47,5,4,4,5,"save wild animals"
"loris","no context",29,4,4,3,4,"good and like"
"loris","informative",26,4,4,4,4,"I like Wildlife research"
"gorilla","no context",35,3,2,3,3,"INTERESTING "
