catID,sound,position,surprise,order,ID
n5,same,same,1,1,h1
n5,same,same,0,1,h2
n5,same,same,1,1,h3
n5,same,same,0,1,h4
n5,same,same,1,1,h5
n5,same,same,0,1,h6
n5,same,same,1,1,h7
n5,same,same,0,1,h8
n50,diff,diff,1,2,h1
n50,diff,diff,1,2,h2
n50,diff,diff,0,2,h3
n50,diff,diff,2,2,h4
n50,diff,diff,0,2,h5
n50,diff,diff,2,2,h6
n50,diff,diff,2,2,h7
n50,diff,diff,0,2,h8
n50,diff,same,1,1,h1
n50,diff,same,0,1,h2
n50,diff,same,0,1,h3
n50,diff,same,0,1,h4
n50,diff,same,0,1,h5
n50,diff,same,0,1,h6
n50,diff,same,1,1,h7
n50,diff,same,0,1,h8
n51,diff,diff,2,1,h1
n51,diff,diff,3,1,h2
n51,diff,diff,3,1,h3
n51,diff,diff,1,1,h4
n51,diff,diff,0,1,h5
n51,diff,diff,0,1,h6
n51,diff,diff,2,1,h7
n51,diff,diff,0,1,h8
n51,diff,same,3,2,h1
n51,diff,same,0,2,h2
n51,diff,same,3,2,h3
n51,diff,same,1,2,h4
n51,diff,same,1,2,h5
n51,diff,same,1,2,h6
n51,diff,same,1,2,h7
n51,diff,same,0,2,h8
n52,diff,diff,1,1,h1
n52,diff,diff,1,1,h2
n52,diff,diff,0,1,h3
n52,diff,diff,0,1,h4
n52,diff,diff,0,1,h5
n52,diff,diff,0,1,h6
n52,diff,diff,1,1,h7
n52,diff,diff,0,1,h8
n52,diff,same,1,2,h1
n52,diff,same,1,2,h2
n52,diff,same,1,2,h3
n52,diff,same,0,2,h4
n52,diff,same,0,2,h5
n52,diff,same,0,2,h6
n52,diff,same,1,2,h7
n52,diff,same,0,2,h8
n54,same,diff,1,1,h1
n54,same,diff,0,1,h2
n54,same,diff,2,1,h3
n54,same,diff,1,1,h4
n54,same,diff,1,1,h5
n54,same,diff,0,1,h6
n54,same,diff,3,1,h7
n54,same,diff,1,1,h8
n54,same,same,2,2,h1
n54,same,same,0,2,h2
n54,same,same,3,2,h3
n54,same,same,0,2,h4
n54,same,same,0,2,h5
n54,same,same,1,2,h6
n54,same,same,3,2,h7
n54,same,same,0,2,h8
n55,diff,diff,2,1,h1
n55,diff,diff,1,1,h2
n55,diff,diff,3,1,h3
n55,diff,diff,2,1,h4
n55,diff,diff,2,1,h5
n55,diff,diff,2,1,h6
n55,diff,diff,4,1,h7
n55,diff,diff,2,1,h8
n6,same,diff,1,2,h1
n6,same,diff,4,2,h2
n6,same,diff,4,2,h3
n6,same,diff,2,2,h4
n6,same,diff,2,2,h5
n6,same,diff,0,2,h6
n6,same,diff,1,2,h7
n6,same,diff,2,2,h8
n6,same,same,1,1,h1
n6,same,same,4,1,h2
n6,same,same,3,1,h3
n6,same,same,2,1,h4
n6,same,same,2,1,h5
n6,same,same,0,1,h6
n6,same,same,1,1,h7
n6,same,same,0,1,h8
n7,same,diff,1,2,h1
n7,same,diff,1,2,h2
n7,same,diff,0,2,h3
n7,same,diff,1,2,h4
n7,same,diff,0,2,h5
n7,same,diff,0,2,h6
n7,same,diff,1,2,h7
n7,same,diff,0,2,h8
n7,same,same,1,1,h1
n7,same,same,1,1,h2
n7,same,same,0,1,h3
n7,same,same,0,1,h4
n7,same,same,0,1,h5
n7,same,same,0,1,h6
n7,same,same,1,1,h7
n7,same,same,0,1,h8
n9,same,diff,3,2,h1
n9,same,diff,0,2,h2
n9,same,diff,0,2,h3
n9,same,diff,3,2,h4
n9,same,diff,2,2,h5
n9,same,diff,3,2,h6
n9,same,diff,4,2,h7
n9,same,diff,2,2,h8
n9,same,same,1,1,h1
n9,same,same,0,1,h2
n9,same,same,0,1,h3
n9,same,same,0,1,h4
n9,same,same,0,1,h5
n9,same,same,0,1,h6
n9,same,same,1,1,h7
n9,same,same,0,1,h8
