"treatment","bike_move_right2","mv_wait2","permitted2","safe2","cycle_distance","mv_distance","commute_type2","state","gender","education"
"2_STR","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","Less than 50 miles","Other","IL","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","Less than 50 miles","Other","MI","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","Less than 50 miles","Other","MS","Male","High School"
"4_BMUFL","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","Less than 50 miles","Other","NC","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","51 - 200 Miles","MotorVehicle","NC","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","0_Disagree","None","51 - 200 Miles","MotorVehicle","NC","Female","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","51 - 200 Miles","MotorVehicle","NC","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","Less than 50 miles","Other","NC","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","0_Disagree","More than 50 miles","51 - 200 Miles","MotorVehicle","PA","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","0_Disagree","11 - 50 miles","None","Other","WA","Male","4-Year College"
"1_None","1_Agree","1_Agree","0_Disagree","0_Disagree","More than 50 miles","More than 200 Miles","MotorVehicle","NC","Male","4-Year College"
"1_None","1_Agree","1_Agree","0_Disagree","0_Disagree","More than 50 miles","51 - 200 Miles","Other","NY","Male","4-Year College"
"1_None","1_Agree","1_Agree","0_Disagree","0_Disagree","More than 50 miles","51 - 200 Miles","Other","WI","Male","Graduate Degree"
"4_BMUFL","1_Agree","0_Disagree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","CA","Male","Graduate Degree"
"3_SLM","0_Disagree","0_Disagree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","CA","Male","4-Year College"
"2_STR","1_Agree","0_Disagree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","MotorVehicle","CO","Female","Graduate Degree"
"1_None","0_Disagree","0_Disagree","1_Agree","1_Agree","11 - 50 miles","More than 200 Miles","MotorVehicle","IA","Male","4-Year College"
"3_SLM","1_Agree","0_Disagree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","MA","Female","Graduate Degree"
